product_slug,source_prompt_slug,title,local_name,visual_family,ingredient_form,primary_color,slot,filename,aspect_ratio,prompt,product_visual_notes
white-lobiya,white-cowpea-lobiya,White Cowpea / Lobiya,Lobiya White,Whole Pulse,white cowpea with eye,cream with black eye,hero,white-cowpea-lobiya-hero.jpg,4:3,"Create a realistic premium-quality food photograph for Yasvik website of White Cowpea / Lobiya (Lobiya White), shown as white cowpea with eye, with primary color cream with black eye. whole beans/pulses clearly identifiable; bowl and scoop styling; size and texture visible. HERO: raw product as the main subject in a shallow ceramic bowl on warm beige stone surface, with small wooden scoop and a few pieces gently scattered. Product must be accurate and unmistakable. Use Yasvik style: premium but honest everyday-food photography, warm beige/cream neutral background, soft natural light, ceramic, wood, brass, linen, and stone textures, clean composition, high detail, trustworthy quality, no packaging drama. No text, no labels, no watermark, no people, no UI elements. Aspect ratio 4:3.","Must look exactly like white cowpea with eye; color should read as cream with black eye. Avoid fake claims, finished dish hero, packaging, or confusing it with similar products."
white-lobiya,white-cowpea-lobiya,White Cowpea / Lobiya,Lobiya White,Whole Pulse,white cowpea with eye,cream with black eye,gallery_1,white-cowpea-lobiya-gallery-1.jpg,1:1,"Create a realistic premium-quality food photograph for Yasvik website of White Cowpea / Lobiya (Lobiya White), shown as white cowpea with eye, with primary color cream with black eye. whole beans/pulses clearly identifiable; bowl and scoop styling; size and texture visible. GALLERY 1: second composition using brass or ceramic bowl with measuring scoop, soft linen, and subtle Indian kitchen context in the background without clutter. Raw ingredient remains the clear focus; no finished cooked dish. Use Yasvik style: premium but honest everyday-food photography, warm beige/cream neutral background, soft natural light, ceramic, wood, brass, linen, and stone textures, clean composition, high detail, trustworthy quality, no packaging drama. No text, no labels, no watermark, no people, no UI elements. Aspect ratio 1:1.","Must look exactly like white cowpea with eye; color should read as cream with black eye. Avoid fake claims, finished dish hero, packaging, or confusing it with similar products."
white-lobiya,white-cowpea-lobiya,White Cowpea / Lobiya,Lobiya White,Whole Pulse,white cowpea with eye,cream with black eye,gallery_2,white-cowpea-lobiya-gallery-2.jpg,1:1,"Create a realistic premium-quality food photograph for Yasvik website of White Cowpea / Lobiya (Lobiya White), shown as white cowpea with eye, with primary color cream with black eye. whole beans/pulses clearly identifiable; bowl and scoop styling; size and texture visible. GALLERY 2: tighter detail shot showing texture, size, color, cleanliness, and quality. Use shallow depth of field and warm soft light. Minimal props, product-accurate. Use Yasvik style: premium but honest everyday-food photography, warm beige/cream neutral background, soft natural light, ceramic, wood, brass, linen, and stone textures, clean composition, high detail, trustworthy quality, no packaging drama. No text, no labels, no watermark, no people, no UI elements. Aspect ratio 1:1.","Must look exactly like white cowpea with eye; color should read as cream with black eye. Avoid fake claims, finished dish hero, packaging, or confusing it with similar products."
white-lobiya,white-cowpea-lobiya,White Cowpea / Lobiya,Lobiya White,Whole Pulse,white cowpea with eye,cream with black eye,hover,white-cowpea-lobiya-hover.jpg,1:1,"Create a realistic premium-quality food photograph for Yasvik website of White Cowpea / Lobiya (Lobiya White), shown as white cowpea with eye, with primary color cream with black eye. whole beans/pulses clearly identifiable; bowl and scoop styling; size and texture visible. HOVER: clean alternate close-up for product card hover. Emphasize ingredient texture and premium quality in a simple bowl or scoop composition. Visually distinct from hero but consistent with Yasvik style. Use Yasvik style: premium but honest everyday-food photography, warm beige/cream neutral background, soft natural light, ceramic, wood, brass, linen, and stone textures, clean composition, high detail, trustworthy quality, no packaging drama. No text, no labels, no watermark, no people, no UI elements. Aspect ratio 1:1.","Must look exactly like white cowpea with eye; color should read as cream with black eye. Avoid fake claims, finished dish hero, packaging, or confusing it with similar products."
cowpeas,cowpeas-bobbarlu,Cowpeas,Bobbarlu,Whole Pulse,whole cowpea,brown/cream with eye,hero,cowpeas-bobbarlu-hero.jpg,4:3,"Create a realistic premium-quality food photograph for Yasvik website of Cowpeas (Bobbarlu), shown as whole cowpea, with primary color brown/cream with eye. whole beans/pulses clearly identifiable; bowl and scoop styling; size and texture visible. HERO: raw product as the main subject in a shallow ceramic bowl on warm beige stone surface, with small wooden scoop and a few pieces gently scattered. Product must be accurate and unmistakable. Use Yasvik style: premium but honest everyday-food photography, warm beige/cream neutral background, soft natural light, ceramic, wood, brass, linen, and stone textures, clean composition, high detail, trustworthy quality, no packaging drama. No text, no labels, no watermark, no people, no UI elements. Aspect ratio 4:3.","Must look exactly like whole cowpea; color should read as brown/cream with eye. Avoid fake claims, finished dish hero, packaging, or confusing it with similar products."
cowpeas,cowpeas-bobbarlu,Cowpeas,Bobbarlu,Whole Pulse,whole cowpea,brown/cream with eye,gallery_1,cowpeas-bobbarlu-gallery-1.jpg,1:1,"Create a realistic premium-quality food photograph for Yasvik website of Cowpeas (Bobbarlu), shown as whole cowpea, with primary color brown/cream with eye. whole beans/pulses clearly identifiable; bowl and scoop styling; size and texture visible. GALLERY 1: second composition using brass or ceramic bowl with measuring scoop, soft linen, and subtle Indian kitchen context in the background without clutter. Raw ingredient remains the clear focus; no finished cooked dish. Use Yasvik style: premium but honest everyday-food photography, warm beige/cream neutral background, soft natural light, ceramic, wood, brass, linen, and stone textures, clean composition, high detail, trustworthy quality, no packaging drama. No text, no labels, no watermark, no people, no UI elements. Aspect ratio 1:1.","Must look exactly like whole cowpea; color should read as brown/cream with eye. Avoid fake claims, finished dish hero, packaging, or confusing it with similar products."
cowpeas,cowpeas-bobbarlu,Cowpeas,Bobbarlu,Whole Pulse,whole cowpea,brown/cream with eye,gallery_2,cowpeas-bobbarlu-gallery-2.jpg,1:1,"Create a realistic premium-quality food photograph for Yasvik website of Cowpeas (Bobbarlu), shown as whole cowpea, with primary color brown/cream with eye. whole beans/pulses clearly identifiable; bowl and scoop styling; size and texture visible. GALLERY 2: tighter detail shot showing texture, size, color, cleanliness, and quality. Use shallow depth of field and warm soft light. Minimal props, product-accurate. Use Yasvik style: premium but honest everyday-food photography, warm beige/cream neutral background, soft natural light, ceramic, wood, brass, linen, and stone textures, clean composition, high detail, trustworthy quality, no packaging drama. No text, no labels, no watermark, no people, no UI elements. Aspect ratio 1:1.","Must look exactly like whole cowpea; color should read as brown/cream with eye. Avoid fake claims, finished dish hero, packaging, or confusing it with similar products."
cowpeas,cowpeas-bobbarlu,Cowpeas,Bobbarlu,Whole Pulse,whole cowpea,brown/cream with eye,hover,cowpeas-bobbarlu-hover.jpg,1:1,"Create a realistic premium-quality food photograph for Yasvik website of Cowpeas (Bobbarlu), shown as whole cowpea, with primary color brown/cream with eye. whole beans/pulses clearly identifiable; bowl and scoop styling; size and texture visible. HOVER: clean alternate close-up for product card hover. Emphasize ingredient texture and premium quality in a simple bowl or scoop composition. Visually distinct from hero but consistent with Yasvik style. Use Yasvik style: premium but honest everyday-food photography, warm beige/cream neutral background, soft natural light, ceramic, wood, brass, linen, and stone textures, clean composition, high detail, trustworthy quality, no packaging drama. No text, no labels, no watermark, no people, no UI elements. Aspect ratio 1:1.","Must look exactly like whole cowpea; color should read as brown/cream with eye. Avoid fake claims, finished dish hero, packaging, or confusing it with similar products."
idly-rava,idly-rava,Idly Rava,Idly Ravva,Coarse Grain,coarse rice rava,white cream,hero,idly-rava-hero.jpg,4:3,"Create a realistic premium-quality food photograph for Yasvik website of Idly Rava (Idly Ravva), shown as coarse rice rava, with primary color white cream. coarse grain/rava texture clearly visible; avoid looking like flour, sugar, or salt. HERO: raw product as the main subject in a shallow ceramic bowl on warm beige stone surface, with small wooden scoop and a few pieces gently scattered. Product must be accurate and unmistakable. Use Yasvik style: premium but honest everyday-food photography, warm beige/cream neutral background, soft natural light, ceramic, wood, brass, linen, and stone textures, clean composition, high detail, trustworthy quality, no packaging drama. No text, no labels, no watermark, no people, no UI elements. Aspect ratio 4:3.","Must look exactly like coarse rice rava; color should read as white cream. Avoid fake claims, finished dish hero, packaging, or confusing it with similar products."
idly-rava,idly-rava,Idly Rava,Idly Ravva,Coarse Grain,coarse rice rava,white cream,gallery_1,idly-rava-gallery-1.jpg,1:1,"Create a realistic premium-quality food photograph for Yasvik website of Idly Rava (Idly Ravva), shown as coarse rice rava, with primary color white cream. coarse grain/rava texture clearly visible; avoid looking like flour, sugar, or salt. GALLERY 1: second composition using brass or ceramic bowl with measuring scoop, soft linen, and subtle Indian kitchen context in the background without clutter. Raw ingredient remains the clear focus; no finished cooked dish. Use Yasvik style: premium but honest everyday-food photography, warm beige/cream neutral background, soft natural light, ceramic, wood, brass, linen, and stone textures, clean composition, high detail, trustworthy quality, no packaging drama. No text, no labels, no watermark, no people, no UI elements. Aspect ratio 1:1.","Must look exactly like coarse rice rava; color should read as white cream. Avoid fake claims, finished dish hero, packaging, or confusing it with similar products."
