product_slug,sku,label,pack_kg,weight_grams,price,compare_price,visible_stock_units,stock_source_kg,notes
whole-wheat,YAS-WHOLE-WHEAT-1KG,1kg,1,1000,49,59,25,25,Shared bulk stock. Do not treat variants as separate inventory.
whole-wheat,YAS-WHOLE-WHEAT-5KG,5kg,5,5000,240,295,5,25,Shared bulk stock. Do not treat variants as separate inventory.
kabuli-chana,YAS-KABULI-CHANA-500G,500g,0.5,500,75,90,20,10,Shared bulk stock. Do not treat variants as separate inventory.
kabuli-chana,YAS-KABULI-CHANA-1KG,1kg,1,1000,139,159,10,10,Shared bulk stock. Do not treat variants as separate inventory.
masoor-dal,YAS-MASOOR-DAL-500G,500g,0.5,500,65,75,10,5,Shared bulk stock. Do not treat variants as separate inventory.
masoor-dal,YAS-MASOOR-DAL-1KG,1kg,1,1000,115,135,5,5,Shared bulk stock. Do not treat variants as separate inventory.
whole-green-gram,YAS-WHOLE-GREEN-500G,500g,0.5,500,75,90,10,5,Shared bulk stock. Do not treat variants as separate inventory.
whole-green-gram,YAS-WHOLE-GREEN-1KG,1kg,1,1000,139,159,5,5,Shared bulk stock. Do not treat variants as separate inventory.
poha-flattened-rice,YAS-POHA-FLATTEN-500G,500g,0.5,500,40,50,20,10,Shared bulk stock. Do not treat variants as separate inventory.
poha-flattened-rice,YAS-POHA-FLATTEN-1KG,1kg,1,1000,75,90,10,10,Shared bulk stock. Do not treat variants as separate inventory.
rava-upma-sooji,YAS-RAVA-UPMA-SO-500G,500g,0.5,500,30,35,40,20,Shared bulk stock. Do not treat variants as separate inventory.
rava-upma-sooji,YAS-RAVA-UPMA-SO-1KG,1kg,1,1000,52,60,20,20,Shared bulk stock. Do not treat variants as separate inventory.
flax-seeds,YAS-FLAX-SEEDS-100G,100g,0.1,100,35,50,50,5,Shared bulk stock. Do not treat variants as separate inventory.
flax-seeds,YAS-FLAX-SEEDS-250G,250g,0.25,250,65,90,20,5,Shared bulk stock. Do not treat variants as separate inventory.
flax-seeds,YAS-FLAX-SEEDS-500G,500g,0.5,500,110,140,10,5,Shared bulk stock. Do not treat variants as separate inventory.
whole-toor,YAS-WHOLE-TOOR-500G,500g,0.5,500,75,90,10,5,Shared bulk stock. Do not treat variants as separate inventory.
whole-toor,YAS-WHOLE-TOOR-1KG,1kg,1,1000,135,155,5,5,Shared bulk stock. Do not treat variants as separate inventory.
idly-rava,YAS-IDLY-RAVA-500G,500g,0.5,500,30,35,40,20,Shared bulk stock. Do not treat variants as separate inventory.
idly-rava,YAS-IDLY-RAVA-1KG,1kg,1,1000,48,58,20,20,Shared bulk stock. Do not treat variants as separate inventory.
white-jowar,YAS-WHITE-JOWAR-500G,500g,0.5,500,50,55,20,10,Shared bulk stock. Do not treat variants as separate inventory.
white-jowar,YAS-WHITE-JOWAR-1KG,1kg,1,1000,85,99,10,10,Shared bulk stock. Do not treat variants as separate inventory.
whole-urad,YAS-WHOLE-URAD-500G,500g,0.5,500,75,90,10,5,Shared bulk stock. Do not treat variants as separate inventory.
whole-urad,YAS-WHOLE-URAD-1KG,1kg,1,1000,135,155,5,5,Shared bulk stock. Do not treat variants as separate inventory.
white-peas,YAS-WHITE-PEAS-500G,500g,0.5,500,40,50,20,10,Shared bulk stock. Do not treat variants as separate inventory.
white-peas,YAS-WHITE-PEAS-1KG,1kg,1,1000,70,85,10,10,Shared bulk stock. Do not treat variants as separate inventory.
brown-chana,YAS-BROWN-CHANA-500G,500g,0.5,500,55,65,20,10,Shared bulk stock. Do not treat variants as separate inventory.
brown-chana,YAS-BROWN-CHANA-1KG,1kg,1,1000,99,115,10,10,Shared bulk stock. Do not treat variants as separate inventory.
roasted-gram,YAS-ROASTED-GRAM-250G,250g,0.25,250,40,50,40,10,Shared bulk stock. Do not treat variants as separate inventory.
roasted-gram,YAS-ROASTED-GRAM-500G,500g,0.5,500,65,80,20,10,Shared bulk stock. Do not treat variants as separate inventory.
roasted-gram,YAS-ROASTED-GRAM-1KG,1kg,1,1000,119,139,10,10,Shared bulk stock. Do not treat variants as separate inventory.
yellow-jowar,YAS-YELLOW-JOWAR-500G,500g,0.5,500,50,55,20,10,Shared bulk stock. Do not treat variants as separate inventory.
yellow-jowar,YAS-YELLOW-JOWAR-1KG,1kg,1,1000,85,99,10,10,Shared bulk stock. Do not treat variants as separate inventory.
urad-gota,YAS-URAD-GOTA-500G,500g,0.5,500,75,90,40,20,Shared bulk stock. Do not treat variants as separate inventory.
urad-gota,YAS-URAD-GOTA-1KG,1kg,1,1000,139,159,20,20,Shared bulk stock. Do not treat variants as separate inventory.
horse-gram,YAS-HORSE-GRAM-250G,250g,0.25,250,35,50,40,10,Shared bulk stock. Do not treat variants as separate inventory.
horse-gram,YAS-HORSE-GRAM-500G,500g,0.5,500,60,75,20,10,Shared bulk stock. Do not treat variants as separate inventory.
horse-gram,YAS-HORSE-GRAM-1KG,1kg,1,1000,109,129,10,10,Shared bulk stock. Do not treat variants as separate inventory.
black-horse-gram,YAS-BLACK-HORSE-250G,250g,0.25,250,40,50,40,10,Shared bulk stock. Do not treat variants as separate inventory.
black-horse-gram,YAS-BLACK-HORSE-500G,500g,0.5,500,65,80,20,10,Shared bulk stock. Do not treat variants as separate inventory.
green-peas,YAS-GREEN-PEAS-500G,500g,0.5,500,60,70,20,10,Shared bulk stock. Do not treat variants as separate inventory.
green-peas,YAS-GREEN-PEAS-1KG,1kg,1,1000,105,125,10,10,Shared bulk stock. Do not treat variants as separate inventory.
split-urad-dal-with-skin,YAS-SPLIT-URAD-D-500G,500g,0.5,500,75,90,20,10,Shared bulk stock. Do not treat variants as separate inventory.
split-urad-dal-with-skin,YAS-SPLIT-URAD-D-1KG,1kg,1,1000,139,159,10,10,Shared bulk stock. Do not treat variants as separate inventory.
split-moong-dal-with-skin,YAS-SPLIT-MOONG-500G,500g,0.5,500,75,90,20,10,Shared bulk stock. Do not treat variants as separate inventory.
split-moong-dal-with-skin,YAS-SPLIT-MOONG-1KG,1kg,1,1000,139,159,10,10,Shared bulk stock. Do not treat variants as separate inventory.
red-rajma,YAS-RED-RAJMA-250G,250g,0.25,250,50,65,40,10,Shared bulk stock. Do not treat variants as separate inventory.
red-rajma,YAS-RED-RAJMA-500G,500g,0.5,500,80,100,20,10,Shared bulk stock. Do not treat variants as separate inventory.
red-rajma,YAS-RED-RAJMA-1KG,1kg,1,1000,149,175,10,10,Shared bulk stock. Do not treat variants as separate inventory.
white-rajma,YAS-WHITE-RAJMA-250G,250g,0.25,250,50,60,40,10,Shared bulk stock. Do not treat variants as separate inventory.
white-rajma,YAS-WHITE-RAJMA-500G,500g,0.5,500,80,95,20,10,Shared bulk stock. Do not treat variants as separate inventory.
white-cowpea-lobiya,YAS-WHITE-COWPEA-250G,250g,0.25,250,35,50,40,10,Shared bulk stock. Do not treat variants as separate inventory.
white-cowpea-lobiya,YAS-WHITE-COWPEA-500G,500g,0.5,500,60,75,20,10,Shared bulk stock. Do not treat variants as separate inventory.
